firm_name,domain,website,phone,address,state,google_rating,rating_count,attorney_count,team_page_found,practice_areas,is_law_firm,faq_present,schema_present,google_ads_pixel,book_call_cta,passes_icp,icp_reason,score,priority_tier,query_practice_area,query_city,source,place_id,first_seen,enrich_status,email,email_type,email_source,decision_maker,email_mx,email_smtp,email_status,email_confidence,candidates_tried,phone_present,website_live
"Byrd Davis Alden & Henrichson, LLP",byrddavis.com,https://byrddavis.com/?utm_campaign=gmb,(512) 607-9983,"8911 N Capital of Texas Hwy Ste 3150, Austin, TX 78759",TX,5,103,4,True,personal injury,True,False,True,True,False,True,,4,A,personal injury,"Austin, TX",google_places,ChIJn6q5eYDKRIYRWAm6yOAna24,2026-06-10,ok,ralden@byrddavis.com,personal,hunter,Robert Alden (Partner),True,hunter:valid,valid,98,robert.alden@byrddavis.com; ralden@byrddavis.com; robert@byrddavis.com; robertalden@byrddavis.com; r.alden@byrddavis.com,True,True
Zinda Law Group,zdfirm.com,https://www.zdfirm.com/tx/austin-personal-injury-lawyer?utm_source=utm_source&utm_medium=GMB&utm_campaign=Zinda%20Law%20Group&utm_id=Zinda-GMB-Profile,(512) 601-4349,"7801 N Capital of Texas Hwy #300, Austin, TX 78731",TX,4.8,522,8,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJq0RwLGDLRIYR_qOqnVFv-s8,2026-06-10,ok,jzinda@zdfirm.com,personal,pattern:common,John C. (Jack) Zinda (Founding Attorney),True,deliverable,valid,95,john.zinda@zdfirm.com; jzinda@zdfirm.com; john@zdfirm.com; johnzinda@zdfirm.com; j.zinda@zdfirm.com,True,True
Briggle & Polan – Austin Personal Injury & Car Accident Lawyers,brigglepolan.com,https://www.brigglepolan.com/,(512) 400-3278,"1609 Shoal Creek Blvd Ste 304, Austin, TX 78701",TX,4.8,121,2,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJL_KViAu1RIYRNQUV69nZH0M,2026-06-10,ok,hayden@brigglepolan.com,personal,hunter,Hayden Briggle (Founder & Attorney),True,hunter:valid,valid,97,hayden.briggle@brigglepolan.com; hbriggle@brigglepolan.com; hayden@brigglepolan.com; haydenbriggle@brigglepolan.com; h.briggle@brigglepolan.com,True,True
"Wayne Wright, LLP",waynewright.com,https://waynewright.com/austin/,(512) 402-3795,"2550 S I-35 Frontage Rd #152, Austin, TX 78704",TX,4.8,390,,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJ3z4sa6a1RIYR09xyA4zEk4Y,2026-06-10,ok,wwright@waynewright.com,personal,pattern:common,Wayne Wright (Managing Partner),True,deliverable,valid,95,wayne.wright@waynewright.com; wwright@waynewright.com; wayne@waynewright.com; waynewright@waynewright.com; w.wright@waynewright.com,True,True
Slingshot Law - Injury Attorneys,slingshotlaw.com,https://slingshotlaw.com/practice-areas-texas/austin-personal-injury-lawyer/?utm_source=GMB&utm_medium=organic&utm_campaign=Austin,(800) 488-7840,"1802 Lavaca St, Austin, TX 78701",TX,4.9,158,4,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJjd8eOjrLRIYR44ADTqlMZOw,2026-06-10,ok,slingshot.law@slingshotlaw.com,personal,guess_unconfirmed,Slingshot Law (Founding Partner),True,catch_all,risky_catchall,60,slingshot.law@slingshotlaw.com; slaw@slingshotlaw.com; slingshot@slingshotlaw.com; slingshotlaw@slingshotlaw.com; s.law@slingshotlaw.com,True,True
Batrice Law Firm,batricelawfirm.com,https://batricelawfirm.com/,(512) 580-8247,"8030 N Mopac Expy Ste 300, Austin, TX 78759",TX,4.9,253,7,True,personal injury; criminal defense,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJ22yANYZKW4YRqEBXP3p6mFs,2026-06-10,ok,paul@batricelawfirm.com,personal,hunter,Paul A. Batrice (Founder and Managing Partner),True,hunter:valid,valid,99,paul@batricelawfirm.com; paul.batrice@batricelawfirm.com; pbatrice@batricelawfirm.com; paulbatrice@batricelawfirm.com; p.batrice@batricelawfirm.com,True,True
Shamieh Law - Accident & Injury Lawyers,shamiehlaw.com,https://shamiehlaw.com/austin/?utm_source=google&utm_medium=organic&utm_campaign=gbp-austin,(254) 459-3591,"3800 N Lamar Blvd #200, Austin, TX 78756",,4.9,98,,False,personal injury,True,False,False,False,False,True,,3,B,personal injury,"Austin, TX",google_places,ChIJbyHof83LRIYRuYRKa4m-MZI,2026-06-10,ok,,,,John Smith (Founding Partner),False,,no_email,0,john.smith@shamiehlaw.com; jsmith@shamiehlaw.com; john@shamiehlaw.com; johnsmith@shamiehlaw.com; j.smith@shamiehlaw.com,True,True
Funk & Associates,funklaw.com,https://www.funklaw.com/,(512) 472-3865,"1016 La Posada Dr Ste 285, Austin, TX 78752",TX,4.9,233,,True,personal injury,True,True,True,False,False,True,,1,C,personal injury,"Austin, TX",google_places,ChIJHXPymhrKRIYR2g-VnTnHPgY,2026-06-10,ok,,,,Funk (Principal),False,,no_email,0,funk.@funklaw.com; f@funklaw.com; funk@funklaw.com; f.@funklaw.com,True,True
Daniel Stark Injury Lawyers,danielstark.com,https://www.danielstark.com/austin/,(512) 474-8686,"8627 N Mopac Expy Suite 425, Austin, TX 78759",Texas,4.8,438,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJHRqvPnW1RIYROYGI3hyo0fs,2026-06-10,ok,info@danielstark.com,role,published,Daniel Stark (Managing Partner),True,undeliverable,invalid,5,daniel.stark@danielstark.com; dstark@danielstark.com; daniel@danielstark.com; danielstark@danielstark.com; d.stark@danielstark.com,True,True
CPM Injury Lawyers: Austin Personal Injury Lawyer,caglefirm.com,https://www.caglefirm.com/,(512) 371-6101,"9433 Bee Caves Rd Ste 1-140, Austin, TX 78733",TX,4.9,116,,True,personal injury,True,False,False,False,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJJahbVhpLW4YRuQI4yZ-dI_U,2026-06-10,ok,,,,CPM Injury Law Firm (Law Firm Principal),False,,no_email,0,cpm.firm@caglefirm.com; cfirm@caglefirm.com; cpm@caglefirm.com; cpmfirm@caglefirm.com; c.firm@caglefirm.com,True,True
"Levine, Wenholz, and Smith, PLLC",injurylawyeraustintx.com,https://www.injurylawyeraustintx.com/,(512) 982-1510,"7200 N Mopac Expy #420, Austin, TX 78731",Texas,4.8,126,,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJ462kmObKRIYR5pnlLLvqb5s,2026-06-10,ok,,,,Joel A. Levine (Founding Partner),False,,no_email,0,joel.levine@injurylawyeraustintx.com; jlevine@injurylawyeraustintx.com; joel@injurylawyeraustintx.com; joellevine@injurylawyeraustintx.com; j.levine@injurylawyeraustintx.com,True,True
Sneed & Mitchell LLP - Trucking Accident & Wrongful Death Lawyers®,sneedmitchell.com,https://www.sneedmitchell.com/,(512) 253-4440,"5540 N Lamar Blvd Ste #46, Austin, TX 78756",Texas,5,79,6,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJ4fucwiTLRIYRRBI8X0MOx-0,2026-06-10,ok,,,,Sneed (Partner),False,,no_email,0,sneed.@sneedmitchell.com; s@sneedmitchell.com; sneed@sneedmitchell.com; s.@sneedmitchell.com,True,True
Angel Reyes & Associates,reyeslaw.com,https://www.reyeslaw.com/austin/car-accident-lawyers/?utm_source=google&utm_medium=organic&utm_campaign=local_listing_austin_gbp,(512) 975-2489,"3420 Executive Center Dr #163, Austin, TX 78731",TX,4.9,811,6,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJRyuvcNzLRIYRqyep2n2r4_M,2026-06-10,ok,spencer@reyeslaw.com,personal,hunter,Spencer Browne (Personal Injury Attorney),True,hunter:valid,valid,96,spencer.browne@reyeslaw.com; sbrowne@reyeslaw.com; spencer@reyeslaw.com; spencerbrowne@reyeslaw.com; s.browne@reyeslaw.com,True,True
Williams Caputo Injury Lawyers,williamscaputo.com,https://www.williamscaputo.com/?utm_campaign=gmb&utm_medium=gbp&utm_source=google&utm_campaign=austin,(512) 842-6554,"206 Wild Basin Rd S Building A, Suite 204, Austin, TX 78746",Texas,5,323,6,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJn_oaYtekFIERZOiK3T61e3w,2026-06-10,ok,joe@williamscaputo.com,personal,hunter,Joe Caputo (Founding Partner),True,hunter:valid,valid,81,joe.caputo@williamscaputo.com; jcaputo@williamscaputo.com; joe@williamscaputo.com; joecaputo@williamscaputo.com; j.caputo@williamscaputo.com,True,True
"Texas Law Guns, Injury & Accident Lawyers",vblawgroup.com,https://www.vblawgroup.com/austin/personal-injury-lawyer/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-listing-austin,(844) 771-1921,"2211 S Interstate 35 #109, Austin, TX 78741",Texas,5,160,12,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJqXGXup21RIYR6uk0Jy4LtVY,2026-06-10,ok,javier@vblawgroup.com,personal,hunter,Javier Villarreal (Attorney),True,hunter:valid,valid,99,javier.villarreal@vblawgroup.com; jvillarreal@vblawgroup.com; javier@vblawgroup.com; javiervillarreal@vblawgroup.com; j.villarreal@vblawgroup.com,True,True
Kelley Wolff Injury Attorneys | Austin Accident Lawyers,texasinjuryaccidentlawyers.com,https://texasinjuryaccidentlawyers.com/,(512) 470-6068,"17800 Hamilton Pool Rd Ste. 203, Austin, TX 78738",TX,5,55,2,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJAQAk91I_W4YR0c1ZQu7wpWA,2026-06-10,ok,,,,Travis S. Kelley (Partner),False,,no_email,0,travis.kelley@texasinjuryaccidentlawyers.com; tkelley@texasinjuryaccidentlawyers.com; travis@texasinjuryaccidentlawyers.com; traviskelley@texasinjuryaccidentlawyers.com; t.kelley@texasinjuryaccidentlawyers.com,True,True
The Sharp Firm,sharpfirm.com,https://www.sharpfirm.com/,(512) 407-8800,"7800 N Mopac Expy Ste 200, Austin, TX 78759",TX,4.9,96,2,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJZcwx3AnLRIYR0qE4U_eFx8E,2026-06-10,ok,laura@sharpfirm.com,personal,pattern:common,Laura Sharp (Attorney),True,deliverable,valid,95,laura.sharp@sharpfirm.com; lsharp@sharpfirm.com; laura@sharpfirm.com; laurasharp@sharpfirm.com; l.sharp@sharpfirm.com,True,True
The Doan Law Firm,thedoanlawfirm.com,https://www.thedoanlawfirm.com/areas/austin-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(512) 806-0000,"100 Congress Ave. Ste 2000, Austin, TX 78701",TX,5,54,5,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJpXYDugXLRIYRAnSQVZxfm9I,2026-06-10,ok,,,,Doan Law (Principal),False,,no_email,0,doan.law@thedoanlawfirm.com; dlaw@thedoanlawfirm.com; doan@thedoanlawfirm.com; doanlaw@thedoanlawfirm.com; d.law@thedoanlawfirm.com,True,True
Bonilla Law Firm,bonillainjurylaw.com,https://www.bonillainjurylaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(512) 441-1111,"3910 S I-35 Frontage Rd #200, Austin, TX 78704",Texas,4.9,59,8,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJ0Rvolo-0RIYRKdCfj5uulSo,2026-06-10,ok,bradford.bonilla@bonillainjurylaw.com,personal,guess_unconfirmed,Bradford Bonilla (Attorney),True,unknown,mx_only,50,bradford.bonilla@bonillainjurylaw.com; bbonilla@bonillainjurylaw.com; bradford@bonillainjurylaw.com; bradfordbonilla@bonillainjurylaw.com; b.bonilla@bonillainjurylaw.com,True,True
Guajardo Injury Law,guajardoinjurylaw.com,https://guajardoinjurylaw.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-website-austin,(512) 817-2325,"5900 Balcones Dr Ste 110, Austin, TX 78731",TX,5,109,3,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJY3F4JinLRIYReqL-zibnRoM,2026-06-10,ok,,,,Michael Guajardo (Managing Partner),False,,no_email,0,michael.guajardo@guajardoinjurylaw.com; mguajardo@guajardoinjurylaw.com; michael@guajardoinjurylaw.com; michaelguajardo@guajardoinjurylaw.com; m.guajardo@guajardoinjurylaw.com,True,True
DJC Law Attorneys,teamjustice.com,https://teamjustice.com/south-austin-personal-injury-lawyers/?utm_source=google&utm_campaign=gbp-austin-south,(512) 881-7882,"5717 S I-35 Frontage Rd, Austin, TX 78744",Texas,4.7,104,10,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJXc7lDhWzRIYRw2iJ0iSIras,2026-06-10,ok,dan@teamjustice.com,personal,hunter,Dan Christensen (Managing Partner),True,hunter:valid,valid,97,dan.christensen@teamjustice.com; dchristensen@teamjustice.com; dan@teamjustice.com; danchristensen@teamjustice.com; d.christensen@teamjustice.com,True,True
Cap City Injury Attorneys,capcityinjuryattorneys.com,http://capcityinjuryattorneys.com/,(512) 612-3110,"702 Rio Grande St Ste 302, Austin, TX 78701",TX,5,15,2,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJi0JGWIy1RIYRUus7gwSa3ag,2026-06-10,ok,matt@capcityinjuryattorneys.com,personal,hunter,Matthew Mandelker (Attorney),True,hunter:valid,valid,97,matthew.mandelker@capcityinjuryattorneys.com; mmandelker@capcityinjuryattorneys.com; matthew@capcityinjuryattorneys.com; matthewmandelker@capcityinjuryattorneys.com; m.mandelker@capcityinjuryattorneys.com,True,True
"Winckler, Harvey & McConnell, LLP",wincklerharvey.com,https://www.wincklerharvey.com/?npcmp=dir:local:2491927:78746,(512) 593-7399,"6836 Bee Caves Rd Bldg 3, Suite 333, Austin, TX 78746",TX,4.3,71,4,True,personal injury; other,True,False,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJQ2y8tZtKW4YRlkh3Bor4mlA,2026-06-10,ok,jwinckler@wincklerharvey.com,personal,hunter,Jay Winckler (Co-founder),True,hunter:valid,valid,99,jay.winckler@wincklerharvey.com; jwinckler@wincklerharvey.com; jay@wincklerharvey.com; jaywinckler@wincklerharvey.com; j.winckler@wincklerharvey.com,True,True
Karns & Karns Personal Injury and Accident Attorneys,karnsandkarns.com,https://www.karnsandkarns.com/locations/austin/,(512) 877-2024,"2512 S I-35 Frontage Rd #350, Austin, TX 78704",TX,5,19,,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJue2mbHi1RIYRWDo89QlKuYo,2026-06-10,ok,kkintake@karnsandkarns.com,personal,published,Karns (Managing Partner),True,deliverable,valid,95,,True,True
The Carlson Law Firm | Injury Lawyers,carlsonattorneys.com,https://www.carlsonattorneys.com/austin?utm_source=Google+Business+Page&utm_medium=GMB&utm_campaign=North+Austin&utm_id=North+Austin,(512) 346-5688,"11606 N Interstate Hwy 35, Austin, TX 78753",TX,4.6,140,,True,personal injury; criminal defense; family law,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJv5fL_QTLRIYRyRQfztt18o0,2026-06-10,ok,firmc@carlsonattorneys.com,personal,hunter,Carlson Law Firm (Founding Partner),True,hunter:accept_all,risky_catchall,75,carlson.firm@carlsonattorneys.com; cfirm@carlsonattorneys.com; carlson@carlsonattorneys.com; carlsonfirm@carlsonattorneys.com; c.firm@carlsonattorneys.com,True,True
"Glasheen, Valles & Inderman Injury Lawyers",gvilaw.com,https://gvilaw.com/our-office-locations/austin/,(512) 643-5500,"1703 West Ave, Austin, TX 78701",TX,5,53,10,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJW2_Orwq1RIYRXJrlnMMSOac,2026-06-10,ok,,,,Kevin Glasheen (Partner),False,,no_email,0,kevin.glasheen@gvilaw.com; kglasheen@gvilaw.com; kevin@gvilaw.com; kevinglasheen@gvilaw.com; k.glasheen@gvilaw.com,True,True
Austin Car Accident and Personal Injury Lawyers – Sutliff & Stout,sutliffstout.com,https://www.sutliffstout.com/austin-personal-injury-lawyer/?utm_source=gbp&utm_campaign=Austin+TX,(512) 842-6646,"9433 Bee Caves Rd Bldg III Suite 200, Austin, TX 78733",TX,5,21,,True,personal injury,True,True,False,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJvQwzuAm1RIYRay8a2gvniL4,2026-06-10,ok,,,,Brett Sutliff (Founding Partner),False,,no_email,0,brett.sutliff@sutliffstout.com; bsutliff@sutliffstout.com; brett@sutliffstout.com; brettsutliff@sutliffstout.com; b.sutliff@sutliffstout.com,True,True
The Carlson Law Firm | Injury Lawyers,carlsonattorneys.com,https://www.carlsonattorneys.com/locations/south-austin?utm_source=Google+Business+Page&utm_medium=GMB&utm_campaign=South+Austin&utm_id=South+Austin,(512) 804-7277,"135 W Slaughter Ln Suite A, Austin, TX 78748",TX,4.6,205,,True,personal injury; criminal defense; family law,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJw86UuoS0RIYR9HfJvRbzv_M,2026-06-10,ok,carlson.@carlsonattorneys.com,personal,guess_unconfirmed,Carlson (Partner),True,catch_all,risky_catchall,60,carlson.@carlsonattorneys.com; c@carlsonattorneys.com; carlson@carlsonattorneys.com; c.@carlsonattorneys.com,True,True
"Howry, Breen & Herman, LLP",howrybreen.com,https://www.howrybreen.com/?utm_source=GMB&utm_medium=organic&utm_campaign=austin,(512) 430-4844,"1900 Pearl St, Austin, TX 78705",TX,5,55,7,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJf4JJpnvWRIYRgqe9sVTSN-E,2026-06-10,ok,rhowry@howrybreen.com,personal,pattern:common,Randy Howry (Managing Partner),True,deliverable,valid,95,randy.howry@howrybreen.com; rhowry@howrybreen.com; randy@howrybreen.com; randyhowry@howrybreen.com; r.howry@howrybreen.com,True,True
Daniel Stark Injury Lawyers,danielstark.com,https://www.danielstark.com/south-austin/,(512) 240-9655,"1811 W Ben White Blvd Ste 101, Austin, TX 78704",Texas,4.8,118,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJJ9ZlVh9LW4YRz3X8WYqFoCE,2026-06-10,ok,info@danielstark.com,role,published,Daniel Stark (Managing Partner),True,undeliverable,invalid,5,daniel.stark@danielstark.com; dstark@danielstark.com; daniel@danielstark.com; danielstark@danielstark.com; d.stark@danielstark.com,True,True
Reyna Law Firm,reynainjurylaw.com,https://www.reynainjurylaw.com/austin,(512) 765-3181,"2025 Guadalupe St #260, Austin, TX 78705",,5,32,,False,personal injury,True,False,False,False,False,True,,3,B,personal injury,"Austin, TX",google_places,ChIJqUSe2Qu1RIYRxGJ9GhqkiME,2026-06-10,ok,,,,Reyna (Managing Partner),False,,no_email,0,reyna.@reynainjurylaw.com; r@reynainjurylaw.com; reyna@reynainjurylaw.com; r.@reynainjurylaw.com,True,True
Shaw Cowart LLP,shawcowart.com,https://www.shawcowart.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(512) 499-8900,"1301 W 25th St #406, Austin, TX 78705",Texas,4.6,131,3,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJHfewg3G1RIYRUlq7iTjOJ3Y,2026-06-10,ok,,,,Ethan L. Shaw (Founding Partner),False,,no_email,0,ethan.shaw@shawcowart.com; eshaw@shawcowart.com; ethan@shawcowart.com; ethanshaw@shawcowart.com; e.shaw@shawcowart.com,True,True
"The Zimmerman Law Firm, P.C.",thezlawfirm.com,https://www.thezlawfirm.com/austin-personal-injury-lawyer/?utm_source=gmb&utm_medium=local&utm_campaign=austin,(512) 883-9370,"809 S Lamar Blvd Ste H, Austin, TX 78704",TX,4.9,44,8,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJQZ3H1b5KW4YR66URmB_U2PI,2026-06-10,ok,mzimmerman@thezlawfirm.com,personal,hunter,Michael A. Zimmerman (Founding Partner),True,hunter:valid,valid,99,michael.zimmerman@thezlawfirm.com; mzimmerman@thezlawfirm.com; michael@thezlawfirm.com; michaelzimmerman@thezlawfirm.com; m.zimmerman@thezlawfirm.com,True,True
